timestamp,gateway,active_connections,goroutines,heap_alloc_mb,heap_sys_mb
1774721332,gateway1,0,8,0.8215713500976562,7.53125
1774721332,gateway2,1,11,0.8358230590820312,7.53125
1774721332,gateway3,0,8,0.8212127685546875,7.5
1774721332,gateway4,0,8,0.8210601806640625,3.53125
1774721332,gateway5,0,8,0.827362060546875,7.46875
1774721336,gateway1,3,17,0.8770523071289062,7.5
1774721336,gateway2,4,20,0.8900985717773438,7.46875
1774721336,gateway3,1,11,0.846832275390625,7.53125
1774721336,gateway4,1,11,0.845733642578125,3.5
1774721336,gateway5,4,20,0.8990707397460938,7.4375
1774721340,gateway1,6,26,0.9257659912109375,7.40625
1774721340,gateway2,6,26,0.9261550903320312,7.5
1774721340,gateway3,3,17,0.8832244873046875,7.46875
1774721340,gateway4,3,17,0.879486083984375,3.5
1774721340,gateway5,7,29,0.9493865966796875,7.375
1774721343,gateway1,10,38,1.0054855346679688,7.375
1774721343,gateway2,6,26,0.974853515625,7.4375
1774721343,gateway3,7,29,0.947235107421875,7.46875
1774721343,gateway4,6,26,0.929351806640625,7.4375
1774721343,gateway5,8,32,1.077880859375,7.375
1774721347,gateway1,11,41,1.0864486694335938,7.3125
1774721347,gateway2,9,35,1.1368637084960938,7.34375
1774721347,gateway3,12,44,1.0394210815429688,7.40625
1774721347,gateway4,8,32,0.9779891967773438,7.34375
1774721347,gateway5,10,38,1.166351318359375,7.34375
1774721351,gateway1,15,53,1.27130126953125,7.34375
1774721351,gateway2,11,41,1.2002410888671875,7.34375
1774721351,gateway3,9,35,1.0479812622070312,7.40625
1774721351,gateway4,16,56,1.2040939331054688,7.34375
1774721351,gateway5,14,50,1.2599029541015625,7.34375
1774721355,gateway1,15,53,1.3749008178710938,7.3125
1774721355,gateway2,16,56,1.306793212890625,7.28125
1774721355,gateway3,12,44,1.22906494140625,7.3125
1774721355,gateway4,18,62,1.3162612915039062,7.1875
1774721355,gateway5,13,47,1.338226318359375,7.3125
1774721358,gateway1,19,65,1.4923934936523438,7.25
1774721358,gateway2,17,59,1.41485595703125,7.1875
1774721358,gateway3,11,41,1.29132080078125,7.375
1774721358,gateway4,24,80,1.4487075805664062,7.21875
1774721358,gateway5,18,62,1.48211669921875,7.25
1774721362,gateway1,24,80,1.6269149780273438,7.21875
1774721362,gateway2,19,65,1.519989013671875,7.25
1774721362,gateway3,16,56,1.3958358764648438,7.34375
1774721362,gateway4,24,80,1.6370162963867188,7.125
1774721362,gateway5,17,59,1.548065185546875,7.21875
1774721366,gateway1,19,65,1.7079544067382812,7.15625
1774721366,gateway2,21,71,1.6728744506835938,7.21875
1774721366,gateway3,21,71,1.5591201782226562,7.1875
1774721366,gateway4,21,71,1.7156753540039062,7.09375
1774721366,gateway5,18,62,1.666473388671875,7.1875
1774721370,gateway1,20,68,1.8285293579101562,7.125
