timestamp,gateway,active_connections,goroutines,heap_alloc_mb,heap_sys_mb
1774720898,gateway1,0,8,0.8198165893554688,7.53125
1774720898,gateway2,1,11,0.8433761596679688,7.46875
1774720898,gateway3,0,8,0.826568603515625,7.46875
1774720902,gateway1,7,29,0.9355392456054688,7.4375
1774720902,gateway2,3,17,0.8826522827148438,7.4375
1774720902,gateway3,2,14,0.8665695190429688,7.4375
1774720905,gateway1,11,41,1.0001678466796875,7.375
1774720905,gateway2,6,26,0.9338302612304688,7.46875
1774720905,gateway3,6,26,0.9319534301757812,7.4375
1774720909,gateway1,14,50,1.0505905151367188,7.375
1774720909,gateway2,11,41,1.0426864624023438,7.34375
1774720909,gateway3,10,38,0.9964218139648438,7.40625
1774720912,gateway1,16,56,1.2675628662109375,7.25
1774720912,gateway2,18,62,1.2406158447265625,7.28125
1774720912,gateway3,13,47,1.0785064697265625,7.28125
1774720916,gateway1,22,74,1.4142303466796875,7.21875
1774720916,gateway2,21,71,1.3499298095703125,7.21875
1774720916,gateway3,15,53,1.1714401245117188,7.3125
1774720919,gateway1,30,98,1.5809097290039062,7.125
1774720919,gateway2,22,74,1.4563140869140625,7.1875
1774720919,gateway3,16,56,1.3267822265625,7.3125
1774720922,gateway1,33,107,1.7630996704101562,7.0625
1774720922,gateway2,23,77,1.6064910888671875,7.09375
1774720922,gateway3,23,77,1.578857421875,7.15625
1774720926,gateway1,38,122,1.9847030639648438,10.96875
1774720926,gateway2,30,98,1.797332763671875,7.15625
1774720926,gateway3,23,77,1.66937255859375,7.21875
1774720929,gateway1,38,122,2.1784744262695312,10.96875
1774720929,gateway2,34,110,1.9720993041992188,7.03125
1774720929,gateway3,29,95,1.846435546875,7.125
1774720933,gateway1,36,116,2.4046249389648438,10.9375
1774720933,gateway2,34,110,2.1852188110351562,6.96875
1774720933,gateway3,31,101,2.052490234375,11.0625
1774720936,gateway1,33,107,2.5738449096679688,10.9375
1774720936,gateway2,27,89,2.2850112915039062,6.9375
1774720936,gateway3,40,128,2.2734527587890625,10.96875
1774720940,gateway1,32,104,2.7346267700195312,10.90625
1774720940,gateway2,26,86,2.4705734252929688,6.96875
1774720940,gateway3,42,134,2.5005645751953125,10.875
1774720943,gateway1,32,104,2.8945693969726562,10.9375
1774720943,gateway2,26,86,2.5808639526367188,6.96875
1774720943,gateway3,42,134,2.6814804077148438,10.8125
1774720946,gateway1,33,107,3.0829544067382812,10.875
1774720946,gateway2,33,107,2.7968521118164062,6.96875
1774720946,gateway3,34,110,2.8080062866210938,10.84375
1774720950,gateway1,41,131,1.3034820556640625,10.8125
1774720950,gateway2,32,104,2.9454421997070312,6.96875
1774720950,gateway3,26,86,2.9050369262695312,10.84375
1774720953,gateway1,42,134,1.4961166381835938,10.625
1774720953,gateway2,31,101,3.0650711059570312,6.96875
1774720953,gateway3,28,92,1.0846405029296875,10.90625
1774720957,gateway1,45,143,1.7153854370117188,10.59375
1774720957,gateway2,28,92,1.1338119506835938,6.9375
1774720957,gateway3,27,89,1.1912078857421875,10.90625
1774720960,gateway1,39,125,1.8962936401367188,10.59375
1774720960,gateway2,27,89,1.2848892211914062,6.84375
1774720960,gateway3,36,116,1.399688720703125,10.8125
1774720964,gateway1,42,134,2.1275863647460938,10.5625
1774720964,gateway2,26,86,1.3943634033203125,6.84375
1774720964,gateway3,32,104,1.6260223388671875,10.71875
1774720967,gateway1,38,122,2.3050613403320312,10.5
1774720967,gateway2,29,95,1.5796737670898438,6.84375
1774720967,gateway3,34,110,1.779876708984375,10.71875
1774720970,gateway1,34,110,2.4307327270507812,10.5
1774720970,gateway2,36,116,1.8136825561523438,6.78125
1774720970,gateway3,32,104,1.9649810791015625,10.6875
1774720974,gateway1,26,86,2.5417098999023438,10.5
1774720974,gateway2,39,125,2.0040283203125,6.71875
1774720974,gateway3,37,119,2.163848876953125,10.625
1774720977,gateway1,26,86,2.7925796508789062,10.5
1774720977,gateway2,38,122,2.15301513671875,6.71875
1774720977,gateway3,35,113,2.2998199462890625,10.59375
1774720981,gateway1,28,92,2.9265823364257812,10.53125
1774720981,gateway2,33,107,2.4613723754882812,6.65625
1774720981,gateway3,40,128,2.5402679443359375,10.5625
1774720984,gateway1,30,98,3.0571975708007812,10.5
1774720984,gateway2,33,107,2.6504745483398438,6.6875
1774720984,gateway3,36,116,2.706329345703125,10.53125
1774720988,gateway1,33,107,1.3476486206054688,10.5
1774720988,gateway2,33,107,2.8007278442382812,6.625
1774720988,gateway3,35,113,2.8267364501953125,10.5625
1774720991,gateway1,54,170,1.7524185180664062,10.375
1774720991,gateway2,41,131,3.1028213500976562,10.625
1774720991,gateway3,42,134,3.1511993408203125,10.5
1774720995,gateway1,74,230,2.1830596923828125,10.1875
1774720995,gateway2,57,179,1.6705856323242188,10.4375
1774720995,gateway3,50,158,1.4907913208007812,10.4375
1774720998,gateway1,92,284,2.7093505859375,9.9375
1774720998,gateway2,71,221,2.0106201171875,10.28125
1774720998,gateway3,63,197,1.8032150268554688,10.34375
1774721002,gateway1,106,326,2.2996597290039062,9.84375
1774721002,gateway2,94,290,2.662811279296875,10.03125
1774721002,gateway3,74,230,2.3256378173828125,10.21875
1774721005,gateway1,120,368,2.999176025390625,9.5625
1774721005,gateway2,100,308,3.165985107421875,9.90625
1774721005,gateway3,100,308,2.987640380859375,9.96875
1774721008,gateway1,133,407,2.82086181640625,13.34375
1774721008,gateway2,116,356,2.6287384033203125,9.6875
1774721008,gateway3,116,356,2.4575958251953125,9.71875
1774721012,gateway1,158,482,3.7786636352539062,13
1774721012,gateway2,126,386,3.459320068359375,9.4375
1774721012,gateway3,128,392,3.145721435546875,9.4375
1774721015,gateway1,181,551,3.2964935302734375,12.65625
1774721015,gateway2,145,443,2.8426971435546875,9.21875
1774721015,gateway3,129,396,3.83428955078125,13.3125
1774721019,gateway1,193,587,4.23907470703125,12.40625
1774721019,gateway2,162,494,3.6712875366210938,8.96875
1774721019,gateway3,149,455,2.9442062377929688,13.09375
1774721022,gateway1,188,572,5.128181457519531,12.25
1774721022,gateway2,162,494,4.507667541503906,8.78125
1774721022,gateway3,152,464,3.6655502319335938,12.84375
1774721026,gateway1,179,545,6.07159423828125,12.125
1774721026,gateway2,171,521,3.213958740234375,12.59375
1774721026,gateway3,150,458,4.377952575683594,12.84375
1774721029,gateway1,192,584,4.099822998046875,12.03125
1774721029,gateway2,167,509,4.0446319580078125,12.53125
1774721029,gateway3,141,431,5.0870819091796875,12.78125
1774721032,gateway1,195,596,5.05975341796875,11.9375
1774721032,gateway2,153,467,4.702239990234375,12.4375
1774721032,gateway3,151,461,3.3883819580078125,12.71875
1774721036,gateway1,183,557,5.8733978271484375,11.9375
1774721036,gateway2,162,494,5.620292663574219,12.40625
1774721036,gateway3,152,464,4.102394104003906,12.6875
1774721039,gateway1,188,572,6.8698577880859375,11.9375
1774721039,gateway2,159,485,3.2863922119140625,12.4375
1774721039,gateway3,156,476,4.9580841064453125,12.625
1774721043,gateway1,181,551,4.166496276855469,15.90625
1774721043,gateway2,159,485,4.023651123046875,12.4375
1774721043,gateway3,158,482,3.1559600830078125,12.65625
1774721046,gateway1,186,566,5.120338439941406,15.84375
1774721046,gateway2,148,452,4.754798889160156,12.4375
1774721046,gateway3,165,503,4.0045013427734375,12.53125
1774721050,gateway1,170,518,5.826957702636719,15.8125
1774721050,gateway2,159,485,5.64337158203125,12.40625
1774721050,gateway3,172,524,4.8308563232421875,12.4375
1774721053,gateway1,175,533,6.771827697753906,15.78125
1774721053,gateway2,167,509,3.6880569458007812,12.375
1774721053,gateway3,155,473,5.554588317871094,12.34375
1774721057,gateway1,174,530,4.045135498046875,15.84375
1774721057,gateway2,168,512,4.482795715332031,12.3125
1774721057,gateway3,161,491,3.4818267822265625,16.34375
1774721060,gateway1,176,536,4.856132507324219,15.84375
1774721060,gateway2,171,521,5.378242492675781,12.28125
1774721060,gateway3,156,476,4.2322540283203125,16.28125
1774721063,gateway1,163,497,5.612129211425781,15.78125
1774721063,gateway2,172,524,6.222404479980469,12.28125
1774721063,gateway3,165,503,5.0686492919921875,16.3125
1774721067,gateway1,154,470,6.34844970703125,15.78125
1774721067,gateway2,176,536,4.0176849365234375,12.25
1774721067,gateway3,166,506,5.897560119628906,16.28125
1774721070,gateway1,164,500,3.7875289916992188,15.78125
1774721070,gateway2,165,503,4.762702941894531,12.21875
1774721070,gateway3,171,521,3.7542037963867188,16.3125
1774721074,gateway1,160,488,4.485313415527344,15.8125
1774721074,gateway2,175,533,5.714263916015625,12.25
1774721074,gateway3,167,509,4.592201232910156,16.25
1774721077,gateway1,164,500,5.3235626220703125,15.875
1774721077,gateway2,164,500,6.443939208984375,12.21875
1774721077,gateway3,168,512,5.3931427001953125,16.1875
1774721081,gateway1,196,596,3.8026275634765625,15.8125
1774721081,gateway2,173,527,3.8496551513671875,12.21875
1774721081,gateway3,167,509,6.221870422363281,16.21875
1774721084,gateway1,242,734,5.1628570556640625,15.375
1774721084,gateway2,170,518,4.73590087890625,12.15625
1774721084,gateway3,177,539,4.0801544189453125,16.15625
1774721087,gateway1,255,773,6.316192626953125,15.15625
1774721087,gateway2,188,572,5.695335388183594,12.09375
1774721087,gateway3,209,635,5.307281494140625,15.875
1774721091,gateway1,238,722,4.531349182128906,15.1875
1774721091,gateway2,227,689,4.52288818359375,11.6875
1774721091,gateway3,245,743,4.260780334472656,15.46875
1774721094,gateway1,260,788,6.1360931396484375,14.96875
1774721094,gateway2,250,758,5.8525390625,11.375
1774721094,gateway3,255,773,5.434295654296875,15.3125
1774721098,gateway1,282,854,7.528900146484375,14.75
1774721098,gateway2,274,830,7.165657043457031,11.125
1774721098,gateway3,267,809,6.8398590087890625,15.09375
1774721101,gateway1,332,1004,6.0551605224609375,18.28125
1774721101,gateway2,268,812,5.7206878662109375,15
1774721101,gateway3,281,851,8.401969909667969,18.8125
1774721105,gateway1,332,1004,7.6821136474609375,18.09375
1774721105,gateway2,295,893,7.427757263183594,14.5625
1774721105,gateway3,307,929,5.944732666015625,18.53125
1774721108,gateway1,340,1028,9.174430847167969,17.90625
1774721108,gateway2,320,968,9.06829833984375,14.25
1774721108,gateway3,331,1001,7.841407775878906,18.09375
1774721111,gateway1,342,1034,6.184288024902344,17.6875
1774721111,gateway2,343,1037,6.872703552246094,17.9375
1774721111,gateway3,314,950,9.218116760253906,18
1774721115,gateway1,350,1058,8.003875732421875,17.5
1774721115,gateway2,337,1019,8.467628479003906,17.8125
1774721115,gateway3,309,935,5.857147216796875,17.96875
1774721118,gateway1,361,1091,9.737358093261719,17.34375
1774721118,gateway2,338,1022,10.11224365234375,17.6875
1774721118,gateway3,309,935,7.478851318359375,17.90625
1774721122,gateway1,368,1112,6.302497863769531,17.21875
1774721122,gateway2,318,962,5.870185852050781,17.5625
1774721122,gateway3,314,950,8.938934326171875,17.84375
1774721125,gateway1,369,1115,8.081352233886719,17.03125
1774721125,gateway2,312,944,7.4304656982421875,17.59375
1774721125,gateway3,320,968,10.517021179199219,17.875
1774721129,gateway1,365,1103,9.771842956542969,17.0625
1774721129,gateway2,308,932,8.914535522460938,17.625
1774721129,gateway3,327,989,6.379554748535156,21.84375
1774721132,gateway1,357,1079,11.587303161621094,17
1774721132,gateway2,320,968,10.552932739257812,17.59375
1774721132,gateway3,320,968,7.8383026123046875,21.75
1774721136,gateway1,358,1082,7.0306854248046875,21.03125
1774721136,gateway2,332,1004,6.782928466796875,17.5625
1774721136,gateway3,306,926,9.249824523925781,21.75
1774721139,gateway1,363,1097,8.729347229003906,21
1774721139,gateway2,346,1046,8.54693603515625,17.46875
1774721139,gateway3,293,887,10.779464721679688,21.65625
1774721142,gateway1,343,1037,10.319053649902344,20.96875
1774721142,gateway2,351,1061,10.214370727539062,17.375
1774721142,gateway3,308,932,6.208587646484375,21.6875
1774721146,gateway1,345,1043,5.9972686767578125,20.96875
1774721146,gateway2,327,989,6.4353179931640625,17.375
1774721146,gateway3,321,971,7.770927429199219,21.65625
1774721149,gateway1,355,1073,7.816375732421875,20.90625
1774721149,gateway2,315,953,7.950965881347656,17.28125
1774721149,gateway3,331,1001,9.389144897460938,21.65625
1774721153,gateway1,372,1124,9.594444274902344,20.9375
1774721153,gateway2,309,935,9.627120971679688,17.28125
1774721153,gateway3,316,956,5.562431335449219,21.65625
1774721156,gateway1,351,1061,11.244293212890625,20.90625
1774721156,gateway2,324,980,11.200416564941406,17.28125
1774721156,gateway3,327,989,7.2197723388671875,21.625
1774721160,gateway1,365,1103,7.39129638671875,20.875
1774721160,gateway2,329,995,6.529685974121094,17.28125
1774721160,gateway3,306,926,8.655952453613281,21.625
1774721163,gateway1,375,1133,9.389228820800781,20.78125
1774721163,gateway2,324,980,8.075065612792969,17.21875
1774721163,gateway3,306,926,10.094528198242188,21.59375
1774721166,gateway1,368,1112,10.922584533691406,20.78125
1774721166,gateway2,328,992,9.718147277832031,17.21875
1774721166,gateway3,315,953,6.11553955078125,21.625
1774721170,gateway1,348,1052,6.103706359863281,20.71875
1774721170,gateway2,353,1067,11.712394714355469,17.1875
1774721170,gateway3,341,1032,7.892921447753906,21.53125
1774721173,gateway1,355,1073,8.131324768066406,20.6875
1774721173,gateway2,404,1220,8.147972106933594,16.75
1774721173,gateway3,399,1205,10.250717163085938,20.96875
1774721177,gateway1,417,1259,10.481765747070312,20.40625
1774721177,gateway2,438,1322,10.256919860839844,16.28125
1774721177,gateway3,424,1280,8.327491760253906,20.71875
1774721180,gateway1,482,1454,8.747276306152344,19.71875
1774721180,gateway2,455,1373,7.627532958984375,20
1774721180,gateway3,454,1370,10.570686340332031,20.21875
1774721184,gateway1,553,1667,11.782455444335938,18.78125
1774721184,gateway2,483,1457,10.301322937011719,19.46875
1774721184,gateway3,479,1445,13.202171325683594,19.78125
1774721187,gateway1,566,1706,14.401260375976562,22.46875
1774721187,gateway2,544,1640,13.287864685058594,18.9375
1774721187,gateway3,508,1532,10.007431030273438,23.3125
1774721190,gateway1,614,1850,11.656089782714844,21.71875
1774721190,gateway2,569,1715,9.674575805664062,22.40625
1774721190,gateway3,548,1652,12.927413940429688,22.71875
1774721194,gateway1,638,1922,14.926559448242188,21.0625
1774721194,gateway2,622,1874,13.10931396484375,21.65625
1774721194,gateway3,587,1769,9.08160400390625,26.25
1774721197,gateway1,686,2066,10.395774841308594,24.40625
1774721197,gateway2,637,1919,16.315444946289062,21.09375
1774721197,gateway3,638,1922,12.435371398925781,25.46875
1774721201,gateway1,694,2090,14.019859313964844,23.9375
1774721201,gateway2,663,1997,11.28692626953125,24.78125
1774721201,gateway3,650,1958,15.48333740234375,24.875
1774721204,gateway1,711,2141,17.742630004882812,27.53125
1774721204,gateway2,647,1949,14.430679321289062,24.46875
1774721204,gateway3,636,1916,18.598587036132812,28.65625
1774721208,gateway1,729,2195,11.255302429199219,31.3125
1774721208,gateway2,654,1970,17.651947021484375,24.4375
1774721208,gateway3,614,1850,12.106597900390625,28.40625
1774721211,gateway1,736,2216,15.070991516113281,31.125
1774721211,gateway2,638,1922,20.721588134765625,28.46875
1774721211,gateway3,624,1880,15.130386352539062,28.5
1774721215,gateway1,738,2222,18.593971252441406,30.96875
1774721215,gateway2,630,1898,12.07293701171875,28.59375
1774721215,gateway3,633,1907,18.330421447753906,28.46875
1774721218,gateway1,746,2246,22.422828674316406,30.84375
1774721218,gateway2,630,1898,15.205856323242188,28.53125
1774721218,gateway3,632,1904,10.362152099609375,28.5
1774721222,gateway1,708,2132,13.166114807128906,30.90625
1774721222,gateway2,638,1922,18.426055908203125,28.53125
1774721222,gateway3,657,1979,13.674125671386719,28.4375
1774721225,gateway1,694,2090,16.542091369628906,30.84375
1774721225,gateway2,638,1922,10.639633178710938,28.53125
1774721225,gateway3,667,2009,17.035682678222656,28.34375
1774721229,gateway1,696,2096,20.082504272460938,30.90625
1774721229,gateway2,643,1937,13.85687255859375,28.5
1774721229,gateway3,663,1997,20.303817749023438,28.28125
1774721232,gateway1,681,2051,23.32476806640625,30.875
1774721232,gateway2,653,1967,17.24237060546875,28.40625
1774721232,gateway3,660,1988,12.865898132324219,28.28125
1774721236,gateway1,674,2030,13.790435791015625,30.9375
1774721236,gateway2,684,2060,20.769180297851562,28.25
1774721236,gateway3,643,1937,15.959220886230469,28.125
1774721239,gateway1,686,2066,17.359664916992188,30.90625
1774721239,gateway2,680,2048,12.955238342285156,28.1875
1774721239,gateway3,630,1898,19.07489013671875,28.125
1774721243,gateway1,700,2108,20.87232208251953,30.9375
1774721243,gateway2,674,2030,16.230239868164062,27.875
1774721243,gateway3,630,1898,10.225288391113281,28.09375
1774721246,gateway1,721,2171,12.313545227050781,30.9375
1774721246,gateway2,662,1994,19.50218963623047,27.71875
1774721246,gateway3,621,1871,13.219993591308594,28.0625
1774721250,gateway1,731,2201,15.952262878417969,30.90625
1774721250,gateway2,641,1931,10.663742065429688,27.75
1774721250,gateway3,631,1901,16.381858825683594,28.09375
1774721253,gateway1,714,2150,19.289268493652344,30.96875
1774721253,gateway2,658,1982,14.126838684082031,27.75
1774721253,gateway3,627,1889,19.494842529296875,28.0625
1774721256,gateway1,688,2072,22.603111267089844,30.96875
1774721256,gateway2,664,2000,17.420570373535156,27.84375
1774721256,gateway3,643,1937,12.096343994140625,28.09375
1774721260,gateway1,707,2129,13.873077392578125,31.03125
1774721260,gateway2,641,1931,20.30915069580078,27.84375
1774721260,gateway3,650,1958,15.323104858398438,28.0625
1774721263,gateway1,699,2105,17.0330810546875,31
1774721263,gateway2,614,1850,11.62286376953125,27.875
1774721263,gateway3,636,1916,18.438034057617188,28.09375
1774721267,gateway1,646,1946,19.73468780517578,31.03125
1774721267,gateway2,534,1610,13.831230163574219,28
1774721267,gateway3,587,1769,20.997238159179688,28.125
1774721270,gateway1,535,1613,22.05188751220703,31.15625
1774721270,gateway2,475,1433,16.001022338867188,28.09375
1774721270,gateway3,521,1571,11.345626831054688,28.125
1774721274,gateway1,463,1397,9.72564697265625,31.3125
1774721274,gateway2,422,1274,18.042938232421875,28.15625
1774721274,gateway3,430,1298,13.0869140625,28.1875
1774721277,gateway1,390,1178,11.3165283203125,31.5
1774721277,gateway2,358,1082,19.382919311523438,28.21875
1774721277,gateway3,343,1037,14.416221618652344,28.5625
1774721281,gateway1,312,944,12.576545715332031,31.875
1774721281,gateway2,288,872,20.561241149902344,28.46875
1774721281,gateway3,254,770,15.436676025390625,28.875
1774721284,gateway1,238,722,13.5216064453125,32.28125
1774721284,gateway2,204,620,5.1137542724609375,29.0625
1774721284,gateway3,168,512,15.995033264160156,30
1774721288,gateway1,159,485,13.961868286132812,33.15625
1774721288,gateway2,132,404,5.412078857421875,30.21875
1774721288,gateway3,100,308,16.223403930664062,31.03125
1774721291,gateway1,78,242,14.058555603027344,34.78125
1774721291,gateway2,58,182,5.495750427246094,31.8125
1774721291,gateway3,36,116,16.300819396972656,32.375
1774721295,gateway1,22,74,14.121505737304688,36.125
1774721295,gateway2,13,47,5.538002014160156,32.96875
1774721295,gateway3,10,38,16.335853576660156,33.03125
1774721298,gateway1,0,8,14.14471435546875,36.8125
